{'loss': 1.3684, 'grad_norm': 18.846572875976562, 'learning_rate': 4.9775000000000004e-05, 'epoch': 0.01}
{'loss': 0.1174, 'grad_norm': 7.741723537445068, 'learning_rate': 2.3775e-05, 'epoch': 1.05}
{'loss': 0.1796, 'grad_norm': 5.92794132232666, 'learning_rate': 2.3525e-05, 'epoch': 1.06}
{'loss': 0.0888, 'grad_norm': 5.776151657104492, 'learning_rate': 2.3275000000000003e-05, 'epoch': 1.07}
{'loss': 0.18, 'grad_norm': 4.34617280960083, 'learning_rate': 2.3025e-05, 'epoch': 1.08}
{'loss': 0.1755, 'grad_norm': 7.376232624053955, 'learning_rate': 2.2775e-05, 'epoch': 1.09}
{'loss': 0.1863, 'grad_norm': 9.03549575805664, 'learning_rate': 2.2525000000000002e-05, 'epoch': 1.1}
{'loss': 0.1099, 'grad_norm': 3.391195297241211, 'learning_rate': 2.2275000000000003e-05, 'epoch': 1.11}
{'loss': 0.1963, 'grad_norm': 6.658610820770264, 'learning_rate': 2.2025e-05, 'epoch': 1.12}
{'loss': 0.1246, 'grad_norm': 4.7073588371276855, 'learning_rate': 2.1775e-05, 'epoch': 1.13}
{'loss': 0.1716, 'grad_norm': 6.897657871246338, 'learning_rate': 2.1525e-05, 'epoch': 1.14}
{'loss': 0.1727, 'grad_norm': 9.19503116607666, 'learning_rate': 2.1275000000000002e-05, 'epoch': 1.15}
{'loss': 0.1308, 'grad_norm': 6.245791912078857, 'learning_rate': 2.1025e-05, 'epoch': 1.16}
{'loss': 0.1604, 'grad_norm': 10.282170295715332, 'learning_rate': 2.0775e-05, 'epoch': 1.17}
{'loss': 0.1627, 'grad_norm': 8.73275375366211, 'learning_rate': 2.0525e-05, 'epoch': 1.18}
{'loss': 0.16, 'grad_norm': 8.257664680480957, 'learning_rate': 2.0275e-05, 'epoch': 1.19}
{'loss': 0.2028, 'grad_norm': 10.749239921569824, 'learning_rate': 2.0025000000000002e-05, 'epoch': 1.2}
{'loss': 0.1584, 'grad_norm': 11.64466667175293, 'learning_rate': 1.9775000000000003e-05, 'epoch': 1.21}
{'loss': 0.2, 'grad_norm': 19.04796600341797, 'learning_rate': 1.9525e-05, 'epoch': 1.22}
{'loss': 0.1526, 'grad_norm': 4.065535545349121, 'learning_rate': 1.9275e-05, 'epoch': 1.23}
{'loss': 0.1403, 'grad_norm': 5.1147236824035645, 'learning_rate': 1.9025e-05, 'epoch': 1.24}
{'loss': 0.1623, 'grad_norm': 6.596556663513184, 'learning_rate': 1.8775000000000002e-05, 'epoch': 1.25}
{'loss': 0.1626, 'grad_norm': 8.152521133422852, 'learning_rate': 1.8525e-05, 'epoch': 1.26}
{'loss': 0.1511, 'grad_norm': 8.298237800598145, 'learning_rate': 1.8275e-05, 'epoch': 1.27}
{'loss': 0.1465, 'grad_norm': 10.748543739318848, 'learning_rate': 1.8025e-05, 'epoch': 1.28}
{'loss': 0.1698, 'grad_norm': 7.836869716644287, 'learning_rate': 1.7775e-05, 'epoch': 1.29}
{'loss': 0.1278, 'grad_norm': 4.346297264099121, 'learning_rate': 1.7525e-05, 'epoch': 1.3}
{'loss': 0.1414, 'grad_norm': 5.817444801330566, 'learning_rate': 1.7275e-05, 'epoch': 1.31}
{'loss': 0.1423, 'grad_norm': 13.450773239135742, 'learning_rate': 1.7025e-05, 'epoch': 1.32}
{'loss': 0.1407, 'grad_norm': 1.4719058275222778, 'learning_rate': 1.6775e-05, 'epoch': 1.33}
{'loss': 0.1168, 'grad_norm': 7.314558029174805, 'learning_rate': 1.6525000000000002e-05, 'epoch': 1.34}
{'loss': 0.1742, 'grad_norm': 6.203218936920166, 'learning_rate': 1.6275000000000003e-05, 'epoch': 1.35}
{'loss': 0.1138, 'grad_norm': 9.39844036102295, 'learning_rate': 1.6025e-05, 'epoch': 1.36}
{'loss': 0.204, 'grad_norm': 13.049138069152832, 'learning_rate': 1.5775e-05, 'epoch': 1.37}
{'loss': 0.1314, 'grad_norm': 9.79913330078125, 'learning_rate': 1.5525e-05, 'epoch': 1.38}
{'loss': 0.1307, 'grad_norm': 6.865511894226074, 'learning_rate': 1.5275000000000002e-05, 'epoch': 1.39}
{'loss': 0.1036, 'grad_norm': 72.25001525878906, 'learning_rate': 1.5025000000000001e-05, 'epoch': 1.4}
{'loss': 0.1438, 'grad_norm': 9.470418930053711, 'learning_rate': 1.4775e-05, 'epoch': 1.41}
{'loss': 0.1589, 'grad_norm': 14.00146770477295, 'learning_rate': 1.4524999999999999e-05, 'epoch': 1.42}
{'loss': 0.1216, 'grad_norm': 4.045833110809326, 'learning_rate': 1.4275e-05, 'epoch': 1.43}
{'loss': 0.0988, 'grad_norm': 8.329375267028809, 'learning_rate': 1.4025000000000002e-05, 'epoch': 1.44}
{'loss': 0.1382, 'grad_norm': 12.720148086547852, 'learning_rate': 1.3775000000000001e-05, 'epoch': 1.45}
{'loss': 0.1119, 'grad_norm': 7.100720405578613, 'learning_rate': 1.3525000000000002e-05, 'epoch': 1.46}
{'loss': 0.1173, 'grad_norm': 8.61568546295166, 'learning_rate': 1.3275e-05, 'epoch': 1.47}
{'loss': 0.1202, 'grad_norm': 9.179611206054688, 'learning_rate': 1.3025000000000002e-05, 'epoch': 1.48}
{'loss': 0.1196, 'grad_norm': 10.36488151550293, 'learning_rate': 1.2775e-05, 'epoch': 1.49}
{'loss': 0.1071, 'grad_norm': 6.364549160003662, 'learning_rate': 1.2525000000000001e-05, 'epoch': 1.5}
{'loss': 0.1073, 'grad_norm': 11.181851387023926, 'learning_rate': 1.2275e-05, 'epoch': 1.51}
{'loss': 0.1993, 'grad_norm': 11.70343017578125, 'learning_rate': 1.2025000000000001e-05, 'epoch': 1.52}
{'loss': 0.2197, 'grad_norm': 16.172557830810547, 'learning_rate': 1.1775e-05, 'epoch': 1.53}
{'loss': 0.1248, 'grad_norm': 6.271039009094238, 'learning_rate': 1.1525e-05, 'epoch': 1.54}
{'loss': 0.1045, 'grad_norm': 6.888554573059082, 'learning_rate': 1.1275000000000001e-05, 'epoch': 1.55}
{'loss': 0.0955, 'grad_norm': 3.4917690753936768, 'learning_rate': 1.1025e-05, 'epoch': 1.56}
{'loss': 0.1407, 'grad_norm': 8.571234703063965, 'learning_rate': 1.0775000000000001e-05, 'epoch': 1.57}
{'loss': 0.1129, 'grad_norm': 3.159675121307373, 'learning_rate': 1.0525e-05, 'epoch': 1.58}
{'loss': 0.1212, 'grad_norm': 10.022069931030273, 'learning_rate': 1.0275e-05, 'epoch': 1.59}
{'loss': 0.1337, 'grad_norm': 6.777021884918213, 'learning_rate': 1.0025000000000001e-05, 'epoch': 1.6}
{'loss': 0.1224, 'grad_norm': 10.36517333984375, 'learning_rate': 9.775e-06, 'epoch': 1.61}
{'loss': 0.097, 'grad_norm': 7.669264793395996, 'learning_rate': 9.525000000000001e-06, 'epoch': 1.62}
{'loss': 0.1275, 'grad_norm': 6.832592010498047, 'learning_rate': 9.275e-06, 'epoch': 1.63}
{'loss': 0.13, 'grad_norm': 8.255189895629883, 'learning_rate': 9.025e-06, 'epoch': 1.64}
{'loss': 0.1465, 'grad_norm': 9.368788719177246, 'learning_rate': 8.775e-06, 'epoch': 1.65}
{'loss': 0.1073, 'grad_norm': 3.4421839714050293, 'learning_rate': 8.525e-06, 'epoch': 1.66}
{'loss': 0.1163, 'grad_norm': 6.940216541290283, 'learning_rate': 8.275000000000001e-06, 'epoch': 1.67}
{'loss': 0.1016, 'grad_norm': 5.983120441436768, 'learning_rate': 8.025e-06, 'epoch': 1.68}
{'loss': 0.1544, 'grad_norm': 5.567869663238525, 'learning_rate': 7.775000000000001e-06, 'epoch': 1.69}
{'loss': 0.1873, 'grad_norm': 11.37337875366211, 'learning_rate': 7.525e-06, 'epoch': 1.7}
{'loss': 0.1216, 'grad_norm': 8.431056022644043, 'learning_rate': 7.275e-06, 'epoch': 1.71}
{'loss': 0.171, 'grad_norm': 10.51322078704834, 'learning_rate': 7.025000000000001e-06, 'epoch': 1.72}
{'loss': 0.1293, 'grad_norm': 3.7135794162750244, 'learning_rate': 6.775000000000001e-06, 'epoch': 1.73}
{'loss': 0.0976, 'grad_norm': 7.5849432945251465, 'learning_rate': 6.525e-06, 'epoch': 1.74}
{'loss': 0.1519, 'grad_norm': 6.170344352722168, 'learning_rate': 6.275e-06, 'epoch': 1.75}
{'loss': 0.1338, 'grad_norm': 10.708988189697266, 'learning_rate': 6.025e-06, 'epoch': 1.76}
{'loss': 0.0985, 'grad_norm': 6.40242862701416, 'learning_rate': 5.775000000000001e-06, 'epoch': 1.77}
{'loss': 0.1216, 'grad_norm': 12.362594604492188, 'learning_rate': 5.5250000000000005e-06, 'epoch': 1.78}
{'loss': 0.127, 'grad_norm': 7.203910827636719, 'learning_rate': 5.275e-06, 'epoch': 1.79}
{'loss': 0.1465, 'grad_norm': 5.172605037689209, 'learning_rate': 5.025e-06, 'epoch': 1.8}
{'loss': 0.0992, 'grad_norm': 6.290213584899902, 'learning_rate': 4.775e-06, 'epoch': 1.81}
{'loss': 0.1213, 'grad_norm': 5.035290718078613, 'learning_rate': 4.525e-06, 'epoch': 1.82}
{'loss': 0.1258, 'grad_norm': 14.2667875289917, 'learning_rate': 4.2750000000000006e-06, 'epoch': 1.83}
{'loss': 0.1099, 'grad_norm': 6.421391010284424, 'learning_rate': 4.0250000000000004e-06, 'epoch': 1.84}
{'loss': 0.0946, 'grad_norm': 6.769968509674072, 'learning_rate': 3.775e-06, 'epoch': 1.85}
{'loss': 0.1483, 'grad_norm': 20.29576301574707, 'learning_rate': 3.5249999999999997e-06, 'epoch': 1.86}
{'loss': 0.1072, 'grad_norm': 13.080252647399902, 'learning_rate': 3.2750000000000004e-06, 'epoch': 1.87}
{'loss': 0.1033, 'grad_norm': 11.01223087310791, 'learning_rate': 3.0250000000000003e-06, 'epoch': 1.88}
{'loss': 0.1209, 'grad_norm': 9.722014427185059, 'learning_rate': 2.775e-06, 'epoch': 1.89}
{'loss': 0.1204, 'grad_norm': 16.815492630004883, 'learning_rate': 2.5250000000000004e-06, 'epoch': 1.9}
{'loss': 0.1343, 'grad_norm': 7.355795860290527, 'learning_rate': 2.2750000000000002e-06, 'epoch': 1.91}
{'loss': 0.1037, 'grad_norm': 7.1403117179870605, 'learning_rate': 2.025e-06, 'epoch': 1.92}
{'loss': 0.117, 'grad_norm': 1.8176363706588745, 'learning_rate': 1.775e-06, 'epoch': 1.93}
{'loss': 0.1664, 'grad_norm': 8.089637756347656, 'learning_rate': 1.525e-06, 'epoch': 1.94}
{'loss': 0.1238, 'grad_norm': 7.545331954956055, 'learning_rate': 1.275e-06, 'epoch': 1.95}
{'loss': 0.1121, 'grad_norm': 8.714127540588379, 'learning_rate': 1.0250000000000001e-06, 'epoch': 1.96}
{'loss': 0.1145, 'grad_norm': 11.164114952087402, 'learning_rate': 7.75e-07, 'epoch': 1.97}
{'loss': 0.1437, 'grad_norm': 3.808346748352051, 'learning_rate': 5.250000000000001e-07, 'epoch': 1.98}
{'loss': 0.1194, 'grad_norm': 2.9295992851257324, 'learning_rate': 2.75e-07, 'epoch': 1.99}
{'loss': 0.1442, 'grad_norm': 17.332368850708008, 'learning_rate': 2.5000000000000002e-08, 'epoch': 2.0}
{'eval_loss': 0.4468686580657959, 'eval_runtime': 31.1693, 'eval_samples_per_second': 6.417, 'eval_steps_per_second': 6.417, 'epoch': 2.0}
{'train_runtime': 3147.4515, 'train_samples_per_second': 1.271, 'train_steps_per_second': 0.635, 'train_loss': 0.33016348457336425, 'epoch': 2.0}
